WEEKLY MATERIAL INVENTORY,,,,,,,,,,,,,,,,,,,,,,,
F-IVM-008 || Rev.1 || 10/05/2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Project:,ALTAIRE,,,,,,,,,,,,,,,,,,,,,
,Subject:,Monthly Inventory Monitoring November 2024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, FINAL ,,,,,,,,,,,,,,,,,
#,NewCoDe,Item Description,UOM, Trade ,Beginning Balance as of 11/3/24, STOCK ON HAND ,,,,,,,,,,,,,,,,,
,,,,,,11/4/24 - 11/9/24,,,11/11/24 - 11/16/24,,,11/18/24 - 11/23/24,,,11/25/24 - 11/30/24,,,10/28/24 - 11/2/24,,,,,
,,,,,,10-Nov-24,,,17-Nov-24,,,24-Nov-24,,,01-Dec-24,,,08-Dec-24,,,,,
,,,,,,IN, OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , IN , OUT , SOH , TOTAL RECEIVE , TOTAL ISSUED , STOCK ON HAND 
,,,,,,TOTAL RECEIVED, TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,, TOTAL RECEIVE , TOTAL USAGE ,,,,
48,0F-06-0313," Flamed Finish, MG Black A, 1250mm x 650mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
49,0F-06-0314," Flamed Finish, MG Black A, 1250mm x 440mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
50,0F-06-0315," Flamed Finish, MG Black A, 1500mm x 600mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
51,0F-06-0316," Flamed Finish, MG Black A, 1500mm x 500mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
52,0F-06-0317," Flamed Finish, MG Black A, 1800mm x 500mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
53,0F-06-0318," Flamed Finish, MG Black A, 1800mm x 600mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
54,0F-06-0319," Flamed Finish, MG Black A, 1800mm x 650mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
55,0F-06-0320," Flamed Finish, MG Black A, 1850mm x 500mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
56,0F-06-0411," Architectural, Wall/ Floor Finish - Stone - Polished, Black Pearl, 1800mm x 600mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
57,0F-06-0511," Architectural, Wall/ Floor Finish - Stone - Honed, Black Pearl, 1800mm x 500mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
58,0F-06-0512," Architectural, Wall/ Floor Finish - Stone - Honed, Black Pearl, 1500mm x 500mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
59,0F-06-0611," Architectural, Wall/ Floor Finish - Stone - Light Leather(flamed+brush), US Black, 1150mm x 600mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
60,0F-06-0612," Architectural, Wall/ Floor Finish - Stone - Light Leather(flamed+brush), US Black, 1150mm x 700mm x 18mm thk ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
61,0F-07-00241," Architectural, Wall/ Floor Finishes - Tile Grout - F14 - Grey Ord, 2kg ", Pack , 0-Architectural ,204,,,204.0,,,204.0,,,204.0,,,204.0,,,204.0,0.0,0.0, 204.0 
62,0F-07-01111," Architectural, Wall/ Floor Finishes - Tile Grout - F13, Anthracite, 2kg ", Pack , 0-Architectural ,91,,,91.0,,,91.0,,,91.0,,,91.0,,,91.0,0.0,0.0, 91.0 
63,0F-08-0101," Tile Adhesive - Heavy Duty, 25kg ", Bag_25kg , 0-Architectural ,120,,,120.0,,,120.0,,,120.0,,,120.0,,,120.0,0.0,0.0, 120.0 
64,0F-20-1101," Architectural, Wall/ Floor Finishes - Skirting - Stainless Steel, Hairline Finish, 2mm thk x 50mm depth ", Piece , 0-Architectural ,50,,,50.0,,,50.0,,,50.0,,,50.0,,,50.0,0.0,0.0, 50.0 
65,0F-21-1111," Architectural, Wall/ Floor Finishes - Gap Trim - Stainless Steel, Hairline Finish, U-Trim, 0.8mm thk x 6mm depth ", Piece , 0-Architectural ,10,,,10.0,,,10.0,,,10.0,,,10.0,,,10.0,0.0,0.0, 10.0 
66,0G-06-0000, Mop Head - Mop Head w/ handle - , Piece , 0-Architectural ,4,,,4.0,,,4.0,,,4.0,,,4.0,,,4.0,0.0,0.0, 4.0 
67,0G-07-0000," Architectural, Consumables - Mop Head w/o handle - ", Piece , 0-Architectural ,34,,,34.0,,,34.0,,,34.0,,,34.0,,,34.0,0.0,0.0, 34.0 
68,0G-07-7000," Architectural, Consumables - Empty Blue Container, 30L ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
69,0G-09-0000," Garden Sprayer, (16 Liters Capacity) ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
70, 0G-15-0001 ," Cutting Disc - Grinding Disc -  4"" ", Piece , 0-Architectural ,72,,,72.0,,,72.0,,,72.0,,,72.0,,,72.0,0.0,0.0, 72.0 
71,0G-15-0102," Architectural, Consumables - Grinding Disc - Flexible  4"" ", Piece , 0-Architectural ,37,,,37.0,,,37.0,,,37.0,,,37.0,,,37.0,0.0,0.0, 37.0 
72,0G-16-0001," Architectural, Consumables - Hacksaw Blade -  12"" ", Piece , 0-Architectural ,260,,,260.0,,,260.0,,,260.0,,,260.0,,,260.0,0.0,0.0, 260.0 
73,0G-17-0001," Architectural, Consumables - Jigsaw Blade -  Metal No. 1 ", Piece , 0-Architectural ,130,,,130.0,,,130.0,,,130.0,,,130.0,,,130.0,0.0,0.0, 130.0 
74,0G-17-0100," Architectural, Consumables - Jigsaw Blade - Metal star type screw ", Piece , 0-Architectural ,95,,,95.0,,,95.0,,,95.0,,,95.0,,,95.0,0.0,0.0, 95.0 
75,0G-17-0200, Blade- Jigsaw Blade -  Wood star type screw , Piece , 0-Architectural ,35,,,35.0,,,35.0,,,35.0,,,35.0,,,35.0,0.0,0.0, 35.0 
76,0G-18-0001," Architectural, Consumables - Masonry Drill Bit - 1/8"" ", Piece , 0-Architectural ,244,50.00,,294.0,,,294.0,,,294.0,,,294.0,,,294.0,50.0,0.0, 294.0 
77,0G-18-00011," Architectural, Consumables - Masonry Drill Bit - #2 ", Piece , 0-Architectural ,197,,,197.0,,,197.0,,,197.0,,,197.0,,,197.0,0.0,0.0, 197.0 
78,0G-18-00012," Architectural, Consumables - Masonry Drill Bit - TE-CX 10/37 (10X300MM) ", Piece , 0-Architectural ,25,,,25.0,,,25.0,,,25.0,,,25.0,,,25.0,0.0,0.0, 25.0 
79,0G-18-00013," Architectural, Consumables - Masonry Drill Bit - 10mm ", Piece , 0-Architectural ,70,,,70.0,,,70.0,,,70.0,,,70.0,,,70.0,0.0,0.0, 70.0 
80, 0G-18-00014 , Drill Bit - Masonry Drill Bit - 16mm , Piece , 0-Architectural ,12,,,12.0,,,12.0,,,12.0,,,12.0,,,12.0,0.0,0.0, 12.0 
81,0G-18-00015," Architectural, Consumables - Masonry Drill Bit - 1/4"" ", Piece , 0-Architectural ,0,30.00,,30.0,,,30.0,,,30.0,,,30.0,,,30.0,30.0,0.0, 30.0 
82,0G-18-00016," Architectural, Consumables - Masonry Drill Bit - 3/4""Ø ", Piece , 0-Architectural ,3,,,3.0,,,3.0,,,3.0,,,3.0,,,3.0,0.0,0.0, 3.0 
83,0G-18-00019," Architectural, Consumables - Masonry Drill Bit - TECX  16mm x 17 ", Piece , 0-Architectural ,41,,,41.0,,,41.0,,,41.0,,,41.0,,,41.0,0.0,0.0, 41.0 
84,0G-18-00020," Architectural, Consumables - Masonry Drill Bit - TECX 12mm X 17 ", Piece , 0-Architectural ,13,,,13.0,,,13.0,,,13.0,,,13.0,,,13.0,0.0,0.0, 13.0 
85,0G-18-00022," Architectural, Consumables - Masonry Drill Bit - 22mm ", Piece , 0-Architectural ,94,,,94.0,,,94.0,,,94.0,,,94.0,,,94.0,0.0,0.0, 94.0 
86,0G-18-00025," Drill Bit - Masonry Drill Bit - TE- CX 12/27, 200mm Long ", Piece , 0-Architectural ,7,,,7.0,,,7.0,,,7.0,,,7.0,,,7.0,0.0,0.0, 7.0 
87,0G-18-0003," Architectural, Consumables - Masonry Drill Bit - 1/2"" 12mm ", Piece , 0-Architectural ,42,,,42.0,,,42.0,,,42.0,,,42.0,,,42.0,0.0,0.0, 42.0 
88, 0G-18-0004 ," Architectural, Consumables - Masonry Drill Bit - TE-CX - (10mm) 10/17 ", Piece , 0-Architectural ,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0, -  
89, 0G-18-0005 ," Architectural, Consumables - Masonry Drill Bit - 3/8"" ", Piece , 0-Architectural ,71,,,71.0,,,71.0,,,71.0,,,71.0,,,71.0,0.0,0.0, 71.0 
90,0G-18-0006," Architectural, Consumables - Masonry Drill Bit - 3/8"" x 6"" ", Piece , 0-Architectural ,2,,,2.0,,,2.0,,,2.0,,,2.0,,,2.0,0.0,0.0, 2.0 
91,0G-18-0007," Architectural, Consumables - Masonry Drill Bit - 5/8"" ", Piece , 0-Architectural ,22,,,22.0,,,22.0,,,22.0,,,22.0,,,22.0,0.0,0.0, 22.0 
92, 0G-18-0009 , Drill Bit - Masonry Drill Bit - 6mm x 100 , Piece , 0-Architectural ,25,,,25.0,,,25.0,,,25.0,,,25.0,,,25.0,0.0,0.0, 25.0 
93, 0G-19-0001 ," Architectural, Consumables - Metal Cutting Disc - 4"" ", Piece , 0-Architectural ,0,50.00,,50.0,,,50.0,,,50.0,,,50.0,,,50.0,50.0,0.0, 50.0 
94, 0G-19-0004 ," Cutting Disc - Diamond Concrete Cutting Disc - 4"" ", Piece , 0-Architectural ,194,,,194.0,,,194.0,,,194.0,,,194.0,,,194.0,0.0,0.0, 194.0 
